sku,date,units,revenue_cents
BAG-02,2024-05-17,17,42483
BAG-02,2024-05-18,27,67473
BAG-02,2024-05-19,21,52479
BAG-02,2024-05-20,16,39984
BAG-02,2024-05-21,14,34986
BAG-02,2024-05-22,13,32487
BAG-02,2024-05-23,20,49980
BAG-02,2024-05-24,18,44982
BAG-02,2024-05-25,24,59976
BAG-02,2024-05-26,19,47481
BAG-02,2024-05-27,12,29988
BAG-02,2024-05-28,14,34986
BAG-02,2024-05-29,16,39984
BAG-02,2024-05-30,16,39984
BAG-02,2024-05-31,18,44982
BAG-02,2024-06-01,25,62475
BAG-02,2024-06-02,24,59976
BAG-02,2024-06-03,14,34986
BAG-02,2024-06-04,13,32487
BAG-02,2024-06-05,12,29988
BAG-02,2024-06-06,15,37485
BAG-02,2024-06-07,21,52479
BAG-02,2024-06-08,26,64974
BAG-02,2024-06-09,21,52479
BAG-02,2024-06-10,13,32487
BAG-02,2024-06-11,14,34986
BAG-02,2024-06-12,18,44982
BAG-02,2024-06-13,19,47481
BAG-02,2024-06-14,24,59976
BAG-02,2024-06-15,26,64974
BAG-02,2024-06-16,19,47481
BAG-02,2024-06-17,18,44982
BAG-02,2024-06-18,14,34986
BAG-02,2024-06-19,21,52479
BAG-02,2024-06-20,21,52479
BAG-02,2024-06-21,21,52479
BAG-02,2024-06-22,24,59976
BAG-02,2024-06-23,17,42483
BAG-02,2024-06-24,15,37485
BAG-02,2024-06-25,19,47481
BAG-02,2024-06-26,14,34986
BAG-02,2024-06-27,16,39984
BAG-02,2024-06-28,24,59976
BAG-02,2024-06-29,31,77469
BAG-02,2024-06-30,19,47481
BAG-02,2024-07-01,13,32487
BAG-02,2024-07-02,15,37485
BAG-02,2024-07-03,16,39984
BAG-02,2024-07-04,18,44982
BAG-02,2024-07-05,19,47481
BAG-02,2024-07-06,27,67473
BAG-02,2024-07-07,18,44982
BAG-02,2024-07-08,14,34986
BAG-02,2024-07-09,17,42483
BAG-02,2024-07-10,16,39984
BAG-02,2024-07-11,16,39984
BAG-02,2024-07-12,21,52479
BAG-02,2024-07-13,21,52479
BAG-02,2024-07-14,22,54978
BAG-02,2024-07-15,12,29988
BAG-02,2024-07-16,14,34986
BAG-02,2024-07-17,17,42483
BAG-02,2024-07-18,19,47481
BAG-02,2024-07-19,25,62475
BAG-02,2024-07-20,25,62475
BAG-02,2024-07-21,21,52479
BAG-02,2024-07-22,21,52479
BAG-02,2024-07-23,14,34986
BAG-02,2024-07-24,16,39984
BAG-02,2024-07-25,17,42483
BAG-02,2024-07-26,27,67473
BAG-02,2024-07-27,24,59976
BAG-02,2024-07-28,20,49980
BAG-02,2024-07-29,14,34986
BAG-02,2024-07-30,15,37485
BAG-02,2024-07-31,14,34986
BAG-02,2024-08-01,17,42483
BAG-02,2024-08-02,24,59976
BAG-02,2024-08-03,25,62475
BAG-02,2024-08-04,21,52479
BAG-02,2024-08-05,15,37485
BAG-02,2024-08-06,19,47481
BAG-02,2024-08-07,14,34986
BAG-02,2024-08-08,19,47481
BAG-02,2024-08-09,23,57477
BAG-02,2024-08-10,24,59976
BAG-02,2024-08-11,20,49980
BAG-02,2024-08-12,20,49980
BAG-02,2024-08-13,13,32487
BAG-02,2024-08-14,18,44982
BAG-02,2024-08-15,23,57477
BAG-02,2024-08-16,20,49980
BAG-02,2024-08-17,24,59976
BAG-02,2024-08-18,20,49980
BAG-02,2024-08-19,20,49980
BAG-02,2024-08-20,15,37485
BAG-02,2024-08-21,20,49980
BAG-02,2024-08-22,18,44982
BAG-02,2024-08-23,22,54978
BAG-02,2024-08-24,27,67473
BAG-02,2024-08-25,22,54978
BAG-02,2024-08-26,16,39984
BAG-02,2024-08-27,15,37485
BAG-02,2024-08-28,21,52479
BAG-02,2024-08-29,16,39984
BAG-02,2024-08-30,25,62475
BAG-02,2024-08-31,30,74970
BAG-02,2024-09-01,23,57477
BAG-02,2024-09-02,13,32487
BAG-02,2024-09-03,16,39984
BAG-02,2024-09-04,14,34986
BAG-02,2024-09-05,17,42483
BAG-02,2024-09-06,19,47481
BAG-02,2024-09-07,23,57477
BAG-02,2024-09-08,23,57477
BAG-02,2024-09-09,15,37485
BAG-02,2024-09-10,18,44982
BAG-02,2024-09-11,17,42483
BAG-02,2024-09-12,18,44982
BAG-02,2024-09-13,26,64974
BAG-02,2024-09-14,27,67473
BAG-02,2024-09-15,18,44982
BAG-02,2024-09-16,12,29988
BAG-02,2024-09-17,18,44982
BAG-02,2024-09-18,14,34986
BAG-02,2024-09-19,18,44982
BAG-02,2024-09-20,21,52479
BAG-02,2024-09-21,27,67473
BAG-02,2024-09-22,22,54978
BAG-02,2024-09-23,20,49980
BAG-02,2024-09-24,12,29988
BAG-02,2024-09-25,18,44982
BAG-02,2024-09-26,20,49980
BAG-02,2024-09-27,26,64974
BAG-02,2024-09-28,25,62475
BAG-02,2024-09-29,24,59976
BAG-02,2024-09-30,15,37485
BAG-02,2024-10-01,13,32487
BAG-02,2024-10-02,18,44982
BAG-02,2024-10-03,21,52479
BAG-02,2024-10-04,26,64974
BAG-02,2024-10-05,26,64974
BAG-02,2024-10-06,23,57477
BAG-02,2024-10-07,18,44982
BAG-02,2024-10-08,17,42483
BAG-02,2024-10-09,20,49980
BAG-02,2024-10-10,21,52479
BAG-02,2024-10-11,27,67473
BAG-02,2024-10-12,30,74970
BAG-02,2024-10-13,19,47481
BAG-02,2024-10-14,17,42483
BAG-02,2024-10-15,15,37485
BAG-02,2024-10-16,22,54978
BAG-02,2024-10-17,23,57477
BAG-02,2024-10-18,26,64974
BAG-02,2024-10-19,29,72471
BAG-02,2024-10-20,17,42483
BAG-02,2024-10-21,17,42483
BAG-02,2024-10-22,17,42483
BAG-02,2024-10-23,20,49980
BAG-02,2024-10-24,22,54978
BAG-02,2024-10-25,22,54978
BAG-02,2024-10-26,26,64974
BAG-02,2024-10-27,20,49980
BAG-02,2024-10-28,16,39984
BAG-02,2024-10-29,18,44982
BAG-02,2024-10-30,20,49980
BAG-02,2024-10-31,20,49980
BAG-02,2024-11-01,24,59976
BAG-02,2024-11-02,34,84966
BAG-02,2024-11-03,19,47481
BAG-02,2024-11-04,16,39984
BAG-02,2024-11-05,19,47481
BAG-02,2024-11-06,19,47481
BAG-02,2024-11-07,19,47481
BAG-02,2024-11-08,28,69972
BAG-02,2024-11-09,28,69972
BAG-02,2024-11-10,28,69972
BAG-02,2024-11-11,16,39984
BAG-02,2024-11-12,15,37485
BAG-02,2024-11-13,22,54978
BAG-02,2024-11-14,25,62475
BAG-02,2024-11-15,24,59976
BAG-02,2024-11-16,34,84966
BAG-02,2024-11-17,23,57477
BAG-02,2024-11-18,16,39984
BAG-02,2024-11-19,19,47481
BAG-02,2024-11-20,19,47481
BAG-02,2024-11-21,17,42483
BAG-02,2024-11-22,29,72471
BAG-02,2024-11-23,23,57477
BAG-02,2024-11-24,28,69972
BAG-02,2024-11-25,13,32487
BAG-02,2024-11-26,20,49980
BAG-02,2024-11-27,25,62475
BAG-02,2024-11-28,19,47481
BAG-02,2024-11-29,27,67473
BAG-02,2024-11-30,33,82467
BAG-02,2024-12-01,23,57477
BAG-02,2024-12-02,15,37485
BAG-02,2024-12-03,15,37485
BAG-02,2024-12-04,20,49980
BAG-02,2024-12-05,17,42483
BAG-02,2024-12-06,24,59976
BAG-02,2024-12-07,28,69972
BAG-02,2024-12-08,23,57477
BAG-02,2024-12-09,16,39984
BAG-02,2024-12-10,13,32487
BAG-02,2024-12-11,18,44982
BAG-02,2024-12-12,21,52479
BAG-02,2024-12-13,24,59976
BAG-02,2024-12-14,26,64974
BAG-02,2024-12-15,22,54978
BAG-02,2024-12-16,16,39984
BAG-02,2024-12-17,15,37485
BAG-02,2024-12-18,15,37485
BAG-02,2024-12-19,21,52479
BAG-02,2024-12-20,27,67473
BAG-02,2024-12-21,26,64974
BAG-02,2024-12-22,25,62475
BAG-02,2024-12-23,13,32487
BAG-02,2024-12-24,21,52479
BAG-02,2024-12-25,25,62475
BAG-02,2024-12-26,22,54978
BAG-02,2024-12-27,23,57477
BAG-02,2024-12-28,28,69972
BAG-02,2024-12-29,24,59976
BAG-02,2024-12-30,18,44982
BAG-02,2024-12-31,22,54978
BAG-02,2025-01-01,20,49980
BAG-02,2025-01-02,21,52479
BAG-02,2025-01-03,30,74970
BAG-02,2025-01-04,26,64974
BAG-02,2025-01-05,25,62475
BAG-02,2025-01-06,21,52479
BAG-02,2025-01-07,18,44982
BAG-02,2025-01-08,16,39984
BAG-02,2025-01-09,20,49980
BAG-02,2025-01-10,23,57477
BAG-02,2025-01-11,31,77469
BAG-02,2025-01-12,23,57477
BAG-02,2025-01-13,16,39984
BAG-02,2025-01-14,19,47481
BAG-02,2025-01-15,15,37485
BAG-02,2025-01-16,21,52479
BAG-02,2025-01-17,24,59976
BAG-02,2025-01-18,32,79968
BAG-02,2025-01-19,23,57477
BAG-02,2025-01-20,17,42483
BAG-02,2025-01-21,18,44982
BAG-02,2025-01-22,22,54978
BAG-02,2025-01-23,19,47481
BAG-02,2025-01-24,26,64974
BAG-02,2025-01-25,30,74970
BAG-02,2025-01-26,24,59976
BAG-02,2025-01-27,18,44982
BAG-02,2025-01-28,19,47481
BAG-02,2025-01-29,22,54978
BAG-02,2025-01-30,15,37485
BAG-02,2025-01-31,22,54978
BAG-02,2025-02-01,28,69972
BAG-02,2025-02-02,21,52479
BAG-02,2025-02-03,18,44982
BAG-02,2025-02-04,24,59976
BAG-02,2025-02-05,23,57477
BAG-02,2025-02-06,25,62475
BAG-02,2025-02-07,27,67473
BAG-02,2025-02-08,28,69972
BAG-02,2025-02-09,26,64974
BAG-02,2025-02-10,14,34986
BAG-02,2025-02-11,20,49980
BAG-02,2025-02-12,18,44982
BAG-02,2025-02-13,21,52479
BAG-02,2025-02-14,28,69972
BAG-02,2025-02-15,30,74970
BAG-02,2025-02-16,23,57477
BAG-02,2025-02-17,23,57477
BAG-02,2025-02-18,21,52479
BAG-02,2025-02-19,17,42483
BAG-02,2025-02-20,27,67473
BAG-02,2025-02-21,29,72471
BAG-02,2025-02-22,29,72471
BAG-02,2025-02-23,23,57477
LAMP-03,2024-01-01,9,35991
LAMP-03,2024-01-02,8,31992
LAMP-03,2024-01-03,8,31992
LAMP-03,2024-01-04,11,43989
LAMP-03,2024-01-05,14,55986
LAMP-03,2024-01-06,17,67983
LAMP-03,2024-01-07,0,0
LAMP-03,2024-01-08,5,19995
LAMP-03,2024-01-09,13,51987
LAMP-03,2024-01-10,13,51987
LAMP-03,2024-01-11,9,35991
LAMP-03,2024-01-12,13,51987
LAMP-03,2024-01-13,16,63984
LAMP-03,2024-01-14,13,51987
LAMP-03,2024-01-15,8,31992
LAMP-03,2024-01-16,12,47988
LAMP-03,2024-01-17,5,19995
LAMP-03,2024-01-18,7,27993
LAMP-03,2024-01-19,12,47988
LAMP-03,2024-01-20,11,43989
LAMP-03,2024-01-21,16,63984
LAMP-03,2024-01-22,5,19995
LAMP-03,2024-01-23,8,31992
LAMP-03,2024-01-24,8,31992
LAMP-03,2024-01-25,15,59985
LAMP-03,2024-01-26,8,31992
LAMP-03,2024-01-27,14,55986
LAMP-03,2024-01-28,9,35991
LAMP-03,2024-01-29,10,39990
LAMP-03,2024-01-30,9,35991
LAMP-03,2024-01-31,10,39990
LAMP-03,2024-02-01,10,39990
LAMP-03,2024-02-02,8,31992
LAMP-03,2024-02-03,16,63984
LAMP-03,2024-02-04,15,59985
LAMP-03,2024-02-05,11,43989
LAMP-03,2024-02-06,11,43989
LAMP-03,2024-02-07,7,27993
LAMP-03,2024-02-08,9,35991
LAMP-03,2024-02-09,13,51987
LAMP-03,2024-02-10,13,51987
LAMP-03,2024-02-11,13,51987
LAMP-03,2024-02-12,11,43989
LAMP-03,2024-02-13,10,39990
LAMP-03,2024-02-14,13,51987
LAMP-03,2024-02-15,8,31992
LAMP-03,2024-02-16,11,43989
LAMP-03,2024-02-17,17,67983
LAMP-03,2024-02-18,9,35991
LAMP-03,2024-02-19,8,31992
LAMP-03,2024-02-20,11,43989
LAMP-03,2024-02-21,9,35991
LAMP-03,2024-02-22,10,39990
LAMP-03,2024-02-23,16,63984
LAMP-03,2024-02-24,15,59985
LAMP-03,2024-02-25,8,31992
LAMP-03,2024-02-26,8,31992
LAMP-03,2024-02-27,9,35991
LAMP-03,2024-02-28,9,35991
LAMP-03,2024-02-29,10,39990
LAMP-03,2024-03-01,13,51987
LAMP-03,2024-03-02,14,55986
LAMP-03,2024-03-03,11,43989
LAMP-03,2024-03-04,5,19995
LAMP-03,2024-03-05,10,39990
LAMP-03,2024-03-06,10,39990
LAMP-03,2024-03-07,12,47988
LAMP-03,2024-03-08,9,35991
LAMP-03,2024-03-09,13,51987
LAMP-03,2024-03-10,12,47988
LAMP-03,2024-03-11,3,11997
LAMP-03,2024-03-12,14,55986
LAMP-03,2024-03-13,8,31992
LAMP-03,2024-03-14,9,35991
LAMP-03,2024-03-15,11,43989
LAMP-03,2024-03-16,15,59985
LAMP-03,2024-03-17,17,67983
LAMP-03,2024-03-18,10,39990
LAMP-03,2024-03-19,6,23994
LAMP-03,2024-03-20,10,39990
LAMP-03,2024-03-21,13,51987
LAMP-03,2024-03-22,15,59985
LAMP-03,2024-03-23,17,67983
LAMP-03,2024-03-24,12,47988
LAMP-03,2024-03-25,7,27993
LAMP-03,2024-03-26,7,27993
LAMP-03,2024-03-27,9,35991
LAMP-03,2024-03-28,12,47988
LAMP-03,2024-03-29,13,51987
LAMP-03,2024-03-30,16,63984
LAMP-03,2024-03-31,12,47988
LAMP-03,2024-04-01,9,35991
LAMP-03,2024-04-02,12,47988
LAMP-03,2024-04-03,10,39990
LAMP-03,2024-04-04,13,51987
LAMP-03,2024-04-05,17,67983
LAMP-03,2024-04-06,11,43989
LAMP-03,2024-04-07,13,51987
LAMP-03,2024-04-08,9,35991
LAMP-03,2024-04-09,8,31992
LAMP-03,2024-04-10,11,43989
LAMP-03,2024-04-11,8,31992
LAMP-03,2024-04-12,17,67983
LAMP-03,2024-04-13,12,47988
LAMP-03,2024-04-14,12,47988
LAMP-03,2024-04-15,13,51987
LAMP-03,2024-04-16,10,39990
LAMP-03,2024-04-17,11,43989
LAMP-03,2024-04-18,12,47988
LAMP-03,2024-04-19,12,47988
LAMP-03,2024-04-20,16,63984
LAMP-03,2024-04-21,11,43989
LAMP-03,2024-04-22,7,27993
LAMP-03,2024-04-23,8,31992
LAMP-03,2024-04-24,7,27993
LAMP-03,2024-04-25,14,55986
LAMP-03,2024-04-26,16,63984
LAMP-03,2024-04-27,18,71982
LAMP-03,2024-04-28,12,47988
LAMP-03,2024-04-29,9,35991
LAMP-03,2024-04-30,12,47988
LAMP-03,2024-05-01,11,43989
LAMP-03,2024-05-02,8,31992
LAMP-03,2024-05-03,16,63984
LAMP-03,2024-05-04,13,51987
LAMP-03,2024-05-05,13,51987
LAMP-03,2024-05-06,11,43989
LAMP-03,2024-05-07,8,31992
LAMP-03,2024-05-08,9,35991
LAMP-03,2024-05-09,9,35991
LAMP-03,2024-05-10,15,59985
LAMP-03,2024-05-11,15,59985
LAMP-03,2024-05-12,15,59985
LAMP-03,2024-05-13,9,35991
LAMP-03,2024-05-14,10,39990
LAMP-03,2024-05-15,7,27993
LAMP-03,2024-05-16,8,31992
LAMP-03,2024-05-17,15,59985
LAMP-03,2024-05-18,14,55986
LAMP-03,2024-05-19,9,35991
LAMP-03,2024-05-20,9,35991
LAMP-03,2024-05-21,10,39990
LAMP-03,2024-05-22,10,39990
LAMP-03,2024-05-23,9,35991
LAMP-03,2024-05-24,16,63984
LAMP-03,2024-05-25,16,63984
LAMP-03,2024-05-26,16,63984
LAMP-03,2024-05-27,8,31992
LAMP-03,2024-05-28,10,39990
LAMP-03,2024-05-29,10,39990
LAMP-03,2024-05-30,9,35991
LAMP-03,2024-05-31,18,71982
LAMP-03,2024-06-01,15,59985
LAMP-03,2024-06-02,12,47988
LAMP-03,2024-06-03,13,51987
LAMP-03,2024-06-04,9,35991
LAMP-03,2024-06-05,11,43989
LAMP-03,2024-06-06,7,27993
LAMP-03,2024-06-07,15,59985
LAMP-03,2024-06-08,13,51987
LAMP-03,2024-06-09,12,47988
LAMP-03,2024-06-10,10,39990
LAMP-03,2024-06-11,8,31992
LAMP-03,2024-06-12,10,39990
LAMP-03,2024-06-13,11,43989
LAMP-03,2024-06-14,14,55986
LAMP-03,2024-06-15,18,71982
LAMP-03,2024-06-16,16,63984
LAMP-03,2024-06-17,9,35991
LAMP-03,2024-06-18,8,31992
LAMP-03,2024-06-19,13,51987
LAMP-03,2024-06-20,12,47988
LAMP-03,2024-06-21,15,59985
LAMP-03,2024-06-22,16,63984
LAMP-03,2024-06-23,14,55986
LAMP-03,2024-06-24,7,27993
LAMP-03,2024-06-25,7,27993
LAMP-03,2024-06-26,13,51987
LAMP-03,2024-06-27,10,39990
LAMP-03,2024-06-28,13,51987
LAMP-03,2024-06-29,18,71982
LAMP-03,2024-06-30,14,55986
LAMP-03,2024-07-01,11,43989
LAMP-03,2024-07-02,8,31992
LAMP-03,2024-07-03,13,51987
LAMP-03,2024-07-04,18,71982
LAMP-03,2024-07-05,16,63984
LAMP-03,2024-07-06,21,83979
LAMP-03,2024-07-07,14,55986
LAMP-03,2024-07-08,16,63984
LAMP-03,2024-07-09,14,55986
LAMP-03,2024-07-10,12,47988
LAMP-03,2024-07-11,9,35991
LAMP-03,2024-07-12,15,59985
LAMP-03,2024-07-13,10,39990
LAMP-03,2024-07-14,11,43989
LAMP-03,2024-07-15,9,35991
LAMP-03,2024-07-16,8,31992
LAMP-03,2024-07-17,10,39990
LAMP-03,2024-07-18,10,39990
LAMP-03,2024-07-19,14,55986
LAMP-03,2024-07-20,18,71982
LAMP-03,2024-07-21,13,51987
LAMP-03,2024-07-22,12,47988
LAMP-03,2024-07-23,13,51987
LAMP-03,2024-07-24,10,39990
LAMP-03,2024-07-25,13,51987
LAMP-03,2024-07-26,9,35991
LAMP-03,2024-07-27,19,75981
LAMP-03,2024-07-28,14,55986
LAMP-03,2024-07-29,9,35991
LAMP-03,2024-07-30,12,47988
LAMP-03,2024-07-31,11,43989
LAMP-03,2024-08-01,13,51987
LAMP-03,2024-08-02,14,55986
LAMP-03,2024-08-03,16,63984
LAMP-03,2024-08-04,17,67983
LAMP-03,2024-08-05,10,39990
LAMP-03,2024-08-06,7,27993
LAMP-03,2024-08-07,13,51987
LAMP-03,2024-08-08,10,39990
LAMP-03,2024-08-09,15,59985
LAMP-03,2024-08-10,16,63984
LAMP-03,2024-08-11,14,55986
LAMP-03,2024-08-12,8,31992
LAMP-03,2024-08-13,15,59985
LAMP-03,2024-08-14,13,51987
LAMP-03,2024-08-15,11,43989
LAMP-03,2024-08-16,12,47988
LAMP-03,2024-08-17,18,71982
LAMP-03,2024-08-18,13,51987
LAMP-03,2024-08-19,12,47988
LAMP-03,2024-08-20,14,55986
LAMP-03,2024-08-21,9,35991
LAMP-03,2024-08-22,16,63984
LAMP-03,2024-08-23,14,55986
LAMP-03,2024-08-24,13,51987
LAMP-03,2024-08-25,10,39990
LAMP-03,2024-08-26,10,39990
LAMP-03,2024-08-27,13,51987
LAMP-03,2024-08-28,6,23994
LAMP-03,2024-08-29,15,59985
LAMP-03,2024-08-30,17,67983
LAMP-03,2024-08-31,16,63984
LAMP-03,2024-09-01,14,55986
LAMP-03,2024-09-02,5,19995
LAMP-03,2024-09-03,11,43989
LAMP-03,2024-09-04,13,51987
LAMP-03,2024-09-05,10,39990
LAMP-03,2024-09-06,19,75981
LAMP-03,2024-09-07,16,63984
LAMP-03,2024-09-08,15,59985
LAMP-03,2024-09-09,9,35991
LAMP-03,2024-09-10,10,39990
LAMP-03,2024-09-11,13,51987
LAMP-03,2024-09-12,14,55986
LAMP-03,2024-09-13,15,59985
LAMP-03,2024-09-14,16,63984
LAMP-03,2024-09-15,14,55986
LAMP-03,2024-09-16,12,47988
LAMP-03,2024-09-17,15,59985
LAMP-03,2024-09-18,10,39990
LAMP-03,2024-09-19,10,39990
LAMP-03,2024-09-20,14,55986
LAMP-03,2024-09-21,15,59985
LAMP-03,2024-09-22,14,55986
LAMP-03,2024-09-23,10,39990
LAMP-03,2024-09-24,9,35991
LAMP-03,2024-09-25,15,59985
LAMP-03,2024-09-26,13,51987
LAMP-03,2024-09-27,14,55986
LAMP-03,2024-09-28,21,83979
LAMP-03,2024-09-29,16,63984
LAMP-03,2024-09-30,8,31992
LAMP-03,2024-10-01,7,27993
LAMP-03,2024-10-02,12,47988
LAMP-03,2024-10-03,12,47988
LAMP-03,2024-10-04,15,59985
LAMP-03,2024-10-05,19,75981
LAMP-03,2024-10-06,14,55986
LAMP-03,2024-10-07,7,27993
LAMP-03,2024-10-08,7,27993
LAMP-03,2024-10-09,13,51987
LAMP-03,2024-10-10,12,47988
LAMP-03,2024-10-11,19,75981
LAMP-03,2024-10-12,16,63984
LAMP-03,2024-10-13,13,51987
LAMP-03,2024-10-14,7,27993
LAMP-03,2024-10-15,9,35991
LAMP-03,2024-10-16,15,59985
LAMP-03,2024-10-17,10,39990
LAMP-03,2024-10-18,17,67983
LAMP-03,2024-10-19,17,67983
LAMP-03,2024-10-20,14,55986
LAMP-03,2024-10-21,7,27993
LAMP-03,2024-10-22,14,55986
LAMP-03,2024-10-23,10,39990
LAMP-03,2024-10-24,16,63984
LAMP-03,2024-10-25,19,75981
LAMP-03,2024-10-26,14,55986
LAMP-03,2024-10-27,13,51987
LAMP-03,2024-10-28,11,43989
LAMP-03,2024-10-29,9,35991
LAMP-03,2024-10-30,11,43989
LAMP-03,2024-10-31,13,51987
LAMP-03,2024-11-01,18,71982
LAMP-03,2024-11-02,22,87978
LAMP-03,2024-11-03,14,55986
LAMP-03,2024-11-04,8,31992
LAMP-03,2024-11-05,11,43989
LAMP-03,2024-11-06,13,51987
LAMP-03,2024-11-07,15,59985
LAMP-03,2024-11-08,11,43989
LAMP-03,2024-11-09,17,67983
LAMP-03,2024-11-10,14,55986
LAMP-03,2024-11-11,10,39990
LAMP-03,2024-11-12,12,47988
LAMP-03,2024-11-13,18,71982
LAMP-03,2024-11-14,12,47988
LAMP-03,2024-11-15,16,63984
LAMP-03,2024-11-16,12,47988
LAMP-03,2024-11-17,15,59985
LAMP-03,2024-11-18,11,43989
LAMP-03,2024-11-19,13,51987
LAMP-03,2024-11-20,16,63984
LAMP-03,2024-11-21,13,51987
LAMP-03,2024-11-22,14,55986
LAMP-03,2024-11-23,19,75981
LAMP-03,2024-11-24,13,51987
LAMP-03,2024-11-25,11,43989
LAMP-03,2024-11-26,14,55986
LAMP-03,2024-11-27,13,51987
LAMP-03,2024-11-28,14,55986
LAMP-03,2024-11-29,18,71982
LAMP-03,2024-11-30,18,71982
LAMP-03,2024-12-01,13,51987
LAMP-03,2024-12-02,7,27993
